id,win,assists,basicPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,deaths,detectorWardsPlaced,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,itemsPurchased,killingSprees,kills,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,summonerLevel,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
NA14466246906,1,60,146.0,10,26386.0,88995,44,0,81222,74305,TOPJUNGLEMIDDLEBOTTOMUTILITY,3,0.0,7.0,121,12,60,29,3011,385942,76461,99291,210,507968,62183,81189,918,177,961503,149987,7363,192571,59246,12162,668,2359,1520,67588,11340,12089,11,30.0,77,2,9,32
NA14466250225,0,45,68.0,18,8854.0,64155,33,8,49101,47780,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,98,6,29,16,2716,105330,22872,47493,144,310780,54514,53859,934,123,488434,85100,2033,106174,28221,1229,444,724,851,72320,7709,4816,2,40.0,81,11,5,42
NA14466250225,1,62,89.0,7,20745.0,56486,29,1,55793,48050,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,4.0,91,8,33,12,2780,248454,44435,24716,160,260441,35457,82550,779,169,568512,84712,0,114980,32117,5692,519,1414,763,59612,4817,7708,8,15.0,64,1,12,22
NA14466258430,0,89,11.0,11,5784.0,5784,58,0,59919,55975,InvalidInvalidInvalidInvalidInvalid,1,5.0,3.0,104,8,41,9,588,55824,25185,49473,0,171266,68323,52394,1391,128,246553,106148,11929,123959,16051,1890,152,817,1182,19462,12639,22086,2,20.0,0,0,0,0
NA14466258430,1,145,9.0,10,8323.0,8323,41,0,64758,55135,InvalidInvalidInvalidInvalidInvalid,1,5.0,3.0,85,16,58,18,942,114990,49473,25184,0,89164,42526,83112,1881,139,246122,114093,1051,120938,25325,837,181,612,958,41961,22088,12638,4,10.0,0,0,0,0
NA14466282317,0,177,4.0,24,6854.0,6854,65,0,110204,99820,InvalidInvalidInvalidInvalidInvalid,1,20.0,4.0,121,18,75,19,1569,537226,160982,154625,0,312131,91894,62824,1881,273,858926,262272,21529,238193,58465,4666,457,2137,2087,9564,9389,20736,3,20.0,0,0,0,0
NA14466282317,1,117,1.0,25,13293.0,13293,75,0,107974,92980,InvalidInvalidInvalidInvalidInvalid,4,5.0,13.0,111,16,65,11,1393,415144,154626,160982,0,219157,53356,107797,1904,411,658691,227101,0,278308,25073,1081,403,1811,2306,24383,19113,9523,4,20.0,0,0,0,0
NA14466307715,0,41,2.0,6,170.0,170,39,0,46224,43200,InvalidInvalidInvalidInvalidInvalid,0,10.0,0.0,81,4,18,5,1192,46829,19817,38482,0,116242,29939,38790,1934,71,167316,50680,0,79895,15850,5311,161,424,745,4242,922,2617,0,20.0,0,0,0,0
NA14466307715,1,95,9.0,7,10694.0,10694,18,0,53121,38035,InvalidInvalidInvalidInvalidInvalid,2,0.0,6.0,60,11,39,13,1219,71461,38462,19795,0,101039,32355,33734,1355,145,175183,73439,1899,54456,11952,0,132,848,347,2679,2619,924,4,0.0,9,0,0,0
NA14466333783,0,9,70.0,18,12405.0,24455,34,3,41614,38525,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,15.0,0.0,90,4,11,9,3571,197947,22647,40392,141,265453,23444,56548,397,77,503686,51154,1301,103151,12173,832,558,2239,970,40281,5058,6207,3,55.0,98,3,6,43
NA14466333783,1,38,94.0,11,21932.0,78668,11,6,55786,46166,TOPJUNGLEMIDDLEBOTTOMUTILITY,3,0.0,8.0,95,5,34,28,2328,188530,39115,24743,175,362558,36397,46752,548,134,594040,81724,1915,78288,22206,3776,533,1109,248,42950,6208,6790,11,15.0,91,6,9,32
NA14469395932,0,52,55.0,24,15725.0,109103,55,9,86226,98445,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,150,11,53,18,2536,272316,50779,152048,236,691532,115569,99764,2007,146,1073659,197296,3393,262496,57574,244,769,2180,2215,109807,30944,10681,4,45.0,186,9,12,84
NA14469395932,1,75,158.0,19,27681.0,83814,53,8,82589,82950,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,8.0,127,14,55,17,3251,573372,148344,53197,199,353182,59500,140338,1672,159,976151,217304,0,224522,32831,449,731,3142,2089,49592,9455,30983,9,20.0,184,10,23,59
NA14469492810,0,58,48.0,14,13337.0,55427,39,9,61885,60300,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,101,7,40,16,2292,238682,50598,48642,170,325105,55825,80125,1850,174,605558,115970,0,133129,37773,464,534,1227,1227,41767,9542,4358,5,40.0,139,10,25,45
NA14469492810,1,65,44.0,22,21225.0,59857,40,12,61290,54575,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,5.0,107,7,39,13,2622,218019,47119,52227,104,274029,55928,75510,1799,179,528109,107410,10296,137843,39449,12602,489,1064,1207,36058,4359,10103,8,25.0,143,16,11,67
NA14469760899,0,71,105.0,24,14946.0,50978,58,10,81425,76920,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,133,14,58,20,3540,576310,127413,125293,255,326861,49345,80282,1039,254,955129,187104,0,229518,61635,316,689,3115,2213,51954,10342,23936,5,20.0,199,12,37,89
NA14469760899,1,82,118.0,40,13371.0,100736,58,28,84527,77900,TOPJUNGLEJUNGLEBOTTOMUTILITY,0,0.0,0.0,150,15,58,21,2602,473407,123593,128877,174,369646,52507,73286,933,202,960835,199511,0,211977,40990,824,749,1662,2126,117774,23405,9809,4,25.0,214,30,29,93
NA14470196699,0,6,21.0,11,729.0,3687,18,2,21566,19085,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,53,2,5,5,1870,115922,14101,10468,84,58652,7995,21027,1140,46,182241,23050,657,32278,3937,240,219,376,330,7665,950,780,0,15.0,31,3,3,16
NA14470196699,1,19,22.0,17,8155.0,25501,5,5,31106,26925,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,65,7,18,13,1304,101976,9395,15004,96,106516,15340,21068,1221,44,221776,26479,849,37989,8164,564,294,646,76,13281,1742,1912,3,0.0,59,8,5,23
NA14470982163,0,23,38.0,21,14477.0,60804,34,13,61275,59470,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,15.0,0.0,102,6,25,8,3692,327219,55972,86743,160,392656,33915,66915,2608,105,790806,96913,1523,159910,61161,5733,747,1208,1180,70927,7024,6247,5,55.0,142,16,19,62
