id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,region
4FlRbPsWvbjK_nxeG_AATHTlyOQfhlkxz35x7DVjgnjOIGQ,GMA8T-KRF3nEPf6FkAk5H9-YqcnzZWJibrua5gSmBo7jnLxV8cB2Nx7D,2oKR-M9a02lU2bOrTfz903BuzpkyboQ2iGFEtabv9ka8pjX3xsjcRJeMfr1QTJe2bEqSevZ6Ka9Q6Q,Kellin,4759,1667799029000,197,KR
t1HLn1__eT-H8-XBV7e6_N0qldCdyzUpa4demRq_rwXDJqw,HiaSbtfQiKD9E0pYLxAz28vFXzSbSDwxr3HSRx0SpPpVx40,FmjRGJBuzPurM5YdBzwAs9VSYCf-i-YdFB6WqyKrYPX6rDn4mCr9KS2EPOL5qUNKU5Bc7LWlB2pkDQ,burdol,4074,1667698196000,236,KR
ChuuJMuMmsNb7Ksa0ib_uuD4C6Jz3W9A-aTa_oxnZtvcb9k,WBZ_4GgDoHsuEW5R8eL7yDIi6-joxRU9vaHUU20POaLzcg,T6hJgCkQctRWpoVmAEWQPQqq7nkqmCN-16hyfRXTI80zpxW2FsOa4IBQuDy1n2gFnagGswz5vVIh3A,Odoamne,764,1667847390000,448,EUW1
9HlMvj-gqgPfy8CmG-Itbg35NkOvyyzoJCGPNoQvlHBK9rY,-15FZdoBefPZJZAdlL7mXzjSKVOH8LvTVmO8UBax83QMs-M,EaW2qC0jf8BGrJKcYIajJVJC764lr4ktTXVqc6GNKf5pTZkyVCSsSabukFl828v7lFOdYNeZxizJnQ,Malrang,4569,1636186835000,46,KR
zR_eK6d5rKv979znVasxli_3F1nX6L6r2h9Mm8wI3RYygwcg,K86IZVJN9rY2PN5FU985b3VYN6Yn7rQT8lmEqQhrjHOAQNazXg_McbgW,8u8XilPQxO1ctk6HHI3mxGoEN5KsGzOhujrDrTyN09xEUu9-RKcrJVDF348deknBRFQSP0m-D8vndA,Larssen,29,1661301439000,34,EUW1
s5_r0EtrUEhl5zCHm7APpBxS05maSVRuiq8SpV5v8oHCqGo,pvSvU9rSBrw3JadzMwYGwshGrngGHqDPBSovco0ZCVhYYQ,li73I64koFIsEM24IukMHYgYGBhekGupi1_e1kSfxGoiJzJX5VDMFlzLPkUQOAtXRZuQk4D93Kn-PQ,Comp,4631,1649713390000,239,EUW1
liNzHl7RgE4NoqbEYmnm87tfavntKH6YZeINTXRPxLzGB_I,hMrlBYJ1GQWlP6TDAmWzGRJhu3iVEp54-qJg4ugYINJ65c0,f4rPGWHkHbh09z5k4eFROpmoD1cxuwdCr9dELtAiWrSJc6Hx3XzCHYy3_XgXUYqP5MynkpwOX9byDg,Trymbi,5474,1667397871000,494,EUW1
trYNOVDnIKOyslrCq6gxPAElqMhJZGNvppz0w1otjIGZfBs,lnhYbVTtBFJ5vj2Nb8VXp5TlIceQZPy_RGTDNr2knQllabY,SJewDOz6TYJrRAB8RQnKGlqPHAI4FbnitasTzWG9QJf4PqN_joRVVb5f6_vIF6XGmUqst2eIs--aNA,blueknight,3219,1622924502000,58,EUW1
FFAQVrxb-TpsN2Q4pTvUeTNYEbH8hngYGrKDZllMF2hoi5Q,OFaeAHklNL4i28_iS0DFY1jv0xyLJbpaYE6-vzygNszrvA,xFc2gG96MPU8zScxCzYKf1XL3F4OJJ5OHHWOIFQkhXo-6D6uZklONRjD5cdoZQjufhpGCzvB7uWwHg,Brokenblade,3587,1592329743000,172,EUW1
_fLWP7nPn9kCGnNZbeGJPklE4qkRibuAFvBku5ca71C7f50,--G4WhySNRqbrXu2ToXqIJ0P58tvgj-LX5Am-tOEvRnIGHo,0Wm980CRjnt92Arbh32TXSqBtQYc9mAex6y9iTrjWDtqhBJoV9QKgVHS8U1gFLsYgddZYF5pXsg1hQ,Jankos,665,1631286710000,41,EUW1
